prayerTagsID,prayerID,tagID
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,7,8
9,8,9
10,9,10
11,10,9
12,11,11
13,12,11
14,13,12
15,14,13
16,15,14
17,16,15
18,17,16
19,18,15
20,18,17
21,18,18
22,18,19
23,18,3
24,19,11
25,19,9
26,19,7
27,19,20
28,20,21
29,20,22
30,20,23
31,20,24
32,21,11
33,21,3
34,22,9
35,23,33
36,23,15
37,24,3
38,24,25
39,24,26
40,24,27
41,24,28
42,25,11
43,25,14
44,25,29
45,25,15
46,26,30
47,26,31
48,26,32
49,26,6
50,27,33
51,27,34
52,27,8
53,28,35
54,28,36
55,29,36
56,30,8
57,30,3
58,30,37
